_date,total_views,unique_views
2024-06-14,4,2
2024-06-18,3,2
2024-06-19,2,1
2024-06-21,5,2
2024-06-23,1,1
2024-06-24,2,2
2024-06-25,13,3
2024-06-26,2,2
2024-06-27,35,3
2024-07-01,6,2
2024-07-02,6,2
2024-07-03,59,5
2024-07-04,21,3
2024-07-05,20,2
2024-07-07,1,1
2024-07-09,12,1
2024-07-10,17,3
2024-07-11,3,2
2024-07-15,4,1
2024-07-16,16,1
2024-07-17,3,3
2024-07-18,1,1
2024-07-22,1,1
2024-07-24,1,1
2024-07-25,1,1
2024-07-26,9,2
2024-07-28,1,1
2024-08-01,3,1
2024-08-02,9,2
2024-08-04,2,1
2024-08-05,7,2
2024-08-06,26,1
2024-08-07,10,1
2024-08-08,1,1
2024-08-09,9,2
2024-08-11,1,1
2024-08-12,9,3
2024-08-13,4,2
2024-08-14,9,2
2024-08-16,4,2
2024-08-17,1,1
2024-08-19,7,2
2024-08-20,12,1
2024-08-21,3,1
2024-08-22,2,2
2024-08-23,2,2
2024-08-25,3,1
